symbol,buy_thr,sell_thr,min_edge,fee,slippage,Sharpe,Calmar,MaxDD,CAGR,total_return,profit_factor,win_rate,n_trades
BTC,0.65,0.45,0.01,0.0005,0.001,0.961134908905213,1.407365460728076,-0.4021934620325386,0.5660331869952435,7.811935919636028,1.252575843627712,0.27202072538860106,1930.0
BTC,0.65,0.45,0.02,0.0005,0.001,0.961134908905213,1.407365460728076,-0.4021934620325386,0.5660331869952435,7.811935919636028,1.252575843627712,0.27202072538860106,1930.0
BTC,0.65,0.45,0.03,0.0005,0.001,0.961134908905213,1.407365460728076,-0.4021934620325386,0.5660331869952435,7.811935919636028,1.252575843627712,0.27202072538860106,1930.0
BTC,0.6,0.45,0.01,0.0005,0.001,0.9307286516383257,1.0739033631809645,-0.5285635443713157,0.5676261679552068,7.8555076857645005,1.2096342433639469,0.2636116152450091,2204.0
BTC,0.6,0.45,0.02,0.0005,0.001,0.9307286516383257,1.0739033631809645,-0.5285635443713157,0.5676261679552068,7.8555076857645005,1.2096342433639469,0.2636116152450091,2204.0
BTC,0.6,0.45,0.03,0.0005,0.001,0.9307286516383257,1.0739033631809645,-0.5285635443713157,0.5676261679552068,7.8555076857645005,1.2096342433639469,0.2636116152450091,2204.0
BTC,0.65,0.45,0.01,0.0005,0.0005,0.8503419902535583,0.9944749320751076,-0.46893022698377507,0.4663393556276545,5.404451052039158,1.2106176282010814,0.2689119170984456,1930.0
BTC,0.65,0.45,0.02,0.0005,0.0005,0.8503419902535583,0.9944749320751076,-0.46893022698377507,0.4663393556276545,5.404451052039158,1.2106176282010814,0.2689119170984456,1930.0
BTC,0.65,0.45,0.03,0.0005,0.0005,0.8503419902535583,0.9944749320751076,-0.46893022698377507,0.4663393556276545,5.404451052039158,1.2106176282010814,0.2689119170984456,1930.0
BTC,0.65,0.4,0.01,0.0005,0.001,0.8893288266715276,0.9572335297105554,-0.48500495770721996,0.4642630075932008,5.360574066321965,1.2591067824226236,0.2717678100263852,1516.0
BTC,0.65,0.4,0.02,0.0005,0.001,0.8893288266715276,0.9572335297105554,-0.48500495770721996,0.4642630075932008,5.360574066321965,1.2591067824226236,0.2717678100263852,1516.0
BTC,0.65,0.4,0.03,0.0005,0.001,0.8893288266715276,0.9572335297105554,-0.48500495770721996,0.4642630075932008,5.360574066321965,1.2591067824226236,0.2717678100263852,1516.0
BTC,0.6,0.45,0.01,0.0005,0.0005,0.871351609508444,0.8898968040636432,-0.5730039320381781,0.5099143678366758,6.382136755486073,1.1878190326047229,0.26270417422867515,2204.0
BTC,0.6,0.45,0.02,0.0005,0.0005,0.871351609508444,0.8898968040636432,-0.5730039320381781,0.5099143678366758,6.382136755486073,1.1878190326047229,0.26270417422867515,2204.0
BTC,0.6,0.45,0.03,0.0005,0.0005,0.871351609508444,0.8898968040636432,-0.5730039320381781,0.5099143678366758,6.382136755486073,1.1878190326047229,0.26270417422867515,2204.0
BTC,0.65,0.4,0.01,0.0005,0.0005,0.8466633086440296,0.8342084742095351,-0.5160201954792569,0.430468419932057,4.67934736363666,1.2385604268255368,0.26978891820580475,1516.0
